invariant_id,invariant,required_semantics
INV01,Pre-L4 claim freeze is distinct from empirical Freeze A/B,PRE_L4_CLAIM_FREEZE_STATUS separate; FREEZE_LAYER only A/B
INV02,Only OUTCOME_DECISION_SCREEN uses SCREEN_STATUS/SCREEN_VERDICT,"technical probe, measurement validation and formal study must not route through S15; a branch with OUTCOME_SCREEN_APPLICABILITY=NOT_APPLICABLE never acquires a screen verdict"
INV03,Pre-outcome measurement validation precedes Death Pilot,S12 PASS before S13/S15
INV04,"Formal main estimation/result QA precedes mechanism, robustness and writing",S19→S20→S21→S22
INV05,Risk-adaptive N/A never requires empty artifact,NOT_APPLICABLE means no empty ledger/template
INV06,Post-Pilot literature update is not result-driven redesign,effect sign/p-value/subgroup cannot drive collision search
INV07,Technical/data bugs use logs/tests/vendor docs before academic method literature,method literature escalates only for method-level uncertainty
INV08,RE alone recovers canonical project state and stops,"No automatic research-state advance; structured state and registered artifacts first, archived conversation evidence only as needed."
INV09,AU alone audits and stops at the earliest material gap,No automatic research-state advance; distinguish research-state defects from presentation issues.
INV10,Canonical project-state module contains no concrete project/candidate IDs,project values live in project artifacts
INV11,"Pre-L4 craft is diagnostic/optional, not an entry gate",argument architecture/one-paragraph test cannot block L4 by itself
INV12,Stable release requires validator PASS after final canonical edits,no ZIP publication on failed lint
INV-CLOSURE-01,No completion claim without closure PASS,Any claim of COMPLETE/PASS/next-step legality requires TASK_CLOSURE_STATUS=PASS.
INV-CLOSURE-02,Last result-affecting change invalidates prior validation,"After any result/state-affecting edit, the final version must be revalidated before delivery."
INV-CLOSURE-03,Closure depth remains risk-adaptive,Ordinary tasks use LIGHT; MILESTONE validation is reserved for high-risk formal handoffs/results/releases.
INV-CLOSURE-04,Self-repair cannot hide blockers,Assistant-fixable defects are repaired before delivery; user-only dependencies remain BLOCKED and explicit.
INV13,"Canonical fingerprint is recomputed, never trusted as declared",The validator recomputes CANONICAL_FINGERPRINT from the declared scope and fails on mismatch; a declared-but-unverifiable fingerprint is not acceptable evidence.
INV14,Generated runtime is verified independently of the builder,The validator re-derives generated content from the spec with its own parser; a tampered or stubbed builder cannot make a divergent generated file pass.
INV15,A package may not certify itself,"RELEASE_METADATA.json carries identity only; validation, mutation, semantic-audit and closure verdicts live in release_evidence/ and in the detached attestation outside the ZIP."
INV16,Generated runtime is byte-identical across platforms,"Generated files are written LF-only so that a rebuild on Windows does not invalidate manifest, checksums or fingerprint."
INV17,Documented validator capability equals implemented validator capability,Every check advertised in Index 8A maps to a named check emitted by tools/validate_skill.py.
INV18,"Status values carry uniform, documented semantics",PASS/CONDITIONAL/BLOCKED/NOT_APPLICABLE mean the same thing across every status field; CONDITIONAL never satisfies a downstream gate that requires PASS and must carry a CONDITION_TYPE.
INV19,One milestone vocabulary,"Closure depth, deliverable packaging and hash policy all reference the single registered MILESTONE_CLASS enum; no module maintains a parallel milestone list."
INV20,"Freeze A checklist is derived from the state machine, not hand-maintained",Module 02 section 12 must cover every field named in S13 entry and pass_condition; a second hand-written gate definition is a drift source.
INV21,Every canonical rule is addressable and every gate reference resolves,"Each rule-level heading in modules 01-07 carries a module-prefixed rule ID, and every GATE- token used in prose resolves to a registered gate_id."
INV23,A screen never establishes an economic null,"OUTCOME_DECISION_SCREEN adjudicates resource allocation only; STOP_RESOURCE_ALLOCATION means the project is not worth further investment under the pre-frozen screening rule, never that the effect has been shown to be economically absent. Equivalence and minimum-effect conclusions belong to FORMAL_STUDY."
INV24,Screen data reuse is frozen before the effect is opened,"SCREEN_DATA_REUSE_POLICY is recorded at S13, before B3. Default EXTERNAL_HOLDOUT. Reuse after the effect has been opened requires either a blinded nuisance-only argument, a valid adaptive or sequential procedure, or demotion of the formal result to exploratory."
INV25,The outcome screen is optional,"When a holdout would destroy formal power, OUTCOME_SCREEN_APPLICABILITY=NOT_APPLICABLE and the branch proceeds from S13 to S17 without opening any effect."
INV26,Multiplicity is governed in three separate layers,"Within-study multiplicity, specification search on one dataset, and literature-level selection are distinct problems with distinct remedies; a within-study correction never discharges the other two."
INV27,Every terminated branch has a terminal state,"All formal STOP and STOP_RESOURCE_ALLOCATION paths route to S24, which records termination reason, failure class, reusable assets, cooldown/reopen conditions, and Seen Data status. No transition targets a bare terminal word without an archive record."
INV28,"Blinding is a principle, not an event-study template",The firewall hides the current study's answer while analysis choices remain discretionary; each design maps it via BLINDING_IMPLEMENTATION_MODE. Background familiarity with a standard dataset is not an unblinding event.
INV29,External method precedent carries an explicit transfer status,"Every canonical rule resting on outside methodological authority appears in the method source locator registry with a locator and a PRECEDENT_TRANSFER_STATUS, including what the source does not support."
