rule_id,source,source_type,edition_year,chapter_section,page_or_article_locator,doi_or_stable_id,fulltext_verified,transfer_scope,transfer_status,claim_supported,claim_not_supported
EMP-SCREEN01,"Eldridge et al., CONSORT 2010 extension to randomised pilot and feasibility trials",REPORTING_GUIDELINE,2016,Box 1; Scope of this paper,BMJ 355:i5239,10.1136/bmj.i5239,YES,feasibility and measurement objectives only,TRANSFERABLE_WITH_ADAPTATION,a pilot exists to assess feasibility; sample size must follow the stated objective,that a small effect-open sample may deliver an economic or efficacy kill; the extension explicitly does not recommend effectiveness hypothesis testing and does not apply to internal pilots
EMP-SCREEN02,"Leon, Davis & Kraemer, The role and interpretation of pilot studies in clinical research",PEER_REVIEWED_METHOD,2011,Misuses of pilot studies,J Psychiatr Res 45(5):626-629,10.1016/j.jpsychires.2010.10.008,YES,feasibility objectives,TRANSFERABLE_WITH_ADAPTATION,a pilot is not a hypothesis-testing study; small-sample effect estimates are too imprecise to drive continue/stop on effect grounds,any confirmatory or economic null claim from pilot data
EMP-REUSE01,"Wittes & Brittain, The role of internal pilot studies in increasing the efficiency of clinical trials",PEER_REVIEWED_METHOD,1990,Introduction and Purposes for Pilot Studies (pp.65-68); Example: An Internal Pilot for Estimating Variance (pp.68-69); Discussion (p.70),pp.65-70; the treatment-parameter exclusion is on p.67,10.1002/sim.4780090113,YES,"Supports distinction between nuisance/design-parameter adaptation and treatment-effect-driven adaptation, and inferential consequences of some internal-pilot reuse.",TRANSFERABLE_WITH_ADAPTATION,"Supports distinction between nuisance/design-parameter adaptation and treatment-effect-driven adaptation, and inferential consequences of some internal-pilot reuse.",ScholarOps four-way reuse policy enum is its own governance implementation; clinical-trial methods are not universal finance procedures.
EMP-REUSE02,"Wittes, Schabenberger, Zucker, Brittain & Proschan, Internal pilot studies I - type I error rate of the naive t-test",PEER_REVIEWED_METHOD,1999,Abstract and section 4 Why Is the Alpha-Level Biased? (pp.3481-3484); section 6.2 Type I Error Rate with Table I (pp.3485-3487); section 7 Discussion and Recommendations (pp.3489-3490),pp.3481-3491; Table I at p.3487; recommendations at pp.3489-3490,10.1002/(SICI)1097-0258(19991230)18:24<3481::AID-SIM301>3.0.CO;2-C,YES,"Supports design-specific alpha inflation, restricted/unrestricted differences, >~30/group example range, .052 bound in studied range, 1.99 vs 1.96 restricted-normal recommendation, and practical pilot fraction .25–.75.",TRANSFERABLE_WITH_ADAPTATION,"Supports design-specific alpha inflation, restricted/unrestricted differences, >~30/group example range, .052 bound in studied range, 1.99 vs 1.96 restricted-normal recommendation, and practical pilot fraction .25–.75.",These numerical values are not universal constants and do not justify effect-based branch selection.
EMP-BLIND01,"Klein & Roodman, Blind analysis in nuclear and particle physics",PEER_REVIEWED_REVIEW,2005,"Abstract and section 1 Introduction (p.141); section 2 Experimenter's Bias and the Motivations for Blind Analyses (p.145); section 3 Blind Analysis Methods (p.149), with 3.1 Hidden Signal Boxes (p.149), 3.2 Hidden Answer Methods (p.152), 3.3 Adding or Removing Events (p.156), 3.4 Data Prescaling (p.159); section 4 Conclusion (p.162)",pp.141-163; method families at pp.149-162; unblinding caveat at p.149,10.1146/annurev.nucl.55.090704.151521,YES,design-neutral blinding principle and its implementation families,TRANSFERABLE_WITH_ADAPTATION,"the abstract on p.141 defines a blind analysis as preventing experimenters from knowing the answer until the analysis is complete, in order to stop them biasing the result toward their own preconceptions. Section 3 then shows the principle is implemented through several distinct families rather than one mechanism: hiding the signal region, hiding the answer, adding or removing events, and prescaling the data. That plurality is the precedent for the skill carrying BLINDING_IMPLEMENTATION_MODE as an enum instead of prescribing one scheme","that blinding certifies a result. p.149 says the method does not require analysis to stop after unblinding, nor does it ensure the results are correct, and that if further selections are applied after unblinding the publication should be explicit about which ones. Blinding constrains discretion; it does not replace disclosure, and it is not evidence of correctness"
EMP-BLIND02A,"Polit, Blinding during the analysis of research data",PEER_REVIEWED_METHOD,2011,analysis decisions susceptible to treatment-code knowledge,Int J Nurs Stud 48(5):636-641,10.1016/j.ijnurstu.2011.02.010,YES,"Supports blinding analysts from treatment-code identity when discretionary analytic choices can affect results; explicitly lists missingness, outliers/distribution, transforms, recoding/cutpoints, subgroups, covariates, endpoints, sensitivity/validity choices.",TRANSFERABLE_WITH_ADAPTATION,"Supports blinding analysts from treatment-code identity when discretionary analytic choices can affect results; explicitly lists missingness, outliers/distribution, transforms, recoding/cutpoints, subgroups, covariates, endpoints, sensitivity/validity choices.",Does not directly study finance/business observational designs; transfer must be labeled as adaptation.
EMP-MULT01,"List, Shaikh & Xu, Multiple hypothesis testing in experimental economics",PEER_REVIEWED_METHOD,2019,"Abstract (p.773); section 1 Introduction (pp.774-775); section 2 Setup and Notation with Assumptions 2.1-2.3 and Remarks 2.1-2.2 (pp.775-777); section 3 A Stepwise Multiple Testing Procedure, Algorithm 3.1, Theorem 3.1 and Remarks 3.1-3.8 (pp.777-781); section 4 Empirical Applications, Tables 1-5 (pp.781-788); section 5 Conclusion (pp.785-789)",Exp Econ 22(4):773-793; familywise arithmetic and prevalence at p.774; assignment and support assumptions at p.777; dominance over Bonferroni and Holm at p.779; adjusted p-value and logical restrictions at p.780; applied magnitudes in Tables 1-3 pp.782-784 and the combined family at p.785; data requirement at p.789,10.1007/s10683-018-09597-5,YES,"within-study multiplicity across outcomes, discrete subgroups and treatments, in an experiment where treatment status is assigned by simple random sampling",TRANSFERABLE_WITH_ADAPTATION,"pp.773-774 name exactly three sources of multiplicity: multiple outcomes, subgroups defined by observed characteristics, and multiple treatments. p.774 supplies the arithmetic that makes the gate default-on rather than discretionary: with independent tests at the five per cent level the probability of at least one false rejection is 0.226 at five hypotheses, 0.401 at ten and 0.994 at a hundred, and the same page reports that 84 per cent of the surveyed experiments examine five or more outcomes and 61 per cent ten or more. Remark 3.2 at p.779 is the decisive operational statement: Bonferroni and Holm are the same stepwise algorithm run with a fixed critical value that assumes a least favourable dependence structure, and the resampling procedure will always reject at least as many null hypotheses as they do. p.780 defines the adjusted p-value as the smallest level at which the hypothesis is rejected and recommends studentising. The applied section shows adjustment changing conclusions rather than decorating them: dollars given not including the match falls from significant at five per cent to significant only at ten (Table 1, p.782); two of four subgroups fall to one (Table 2, p.783); the 2:1 match moves from 0.0477 to 0.1297 and stops being significant at any conventional level (p.783, Table 3 p.784); and across the combined family of 48 hypotheses the rejections at ten per cent fall from 21 to 9, with 7 of the 9 attached to a single outcome (p.785). p.785 states the reporting standard the skill adopts, that multiplicity-adjusted results be reported alongside the conventional unadjusted ones","anything about selection of the research question across the literature, and anything about repeated specification search on one dataset; those are separate layers. Inside its own layer the scope is narrower than it looks. Remark 2.1 at p.777 assumes treatment status is i.i.d., so the procedure does not accommodate covariate-adaptive or stratified assignment designed to balance baseline covariates, and a design of that kind must be resolved before this source is cited. Assumption 2.3 at p.777 requires treatment and the subgroup variable to be discrete with finite support, so continuous moderators fall outside it. Remark 2.2 at p.777 concedes that with a very large family, familywise control materially limits the ability to detect genuinely false nulls, and points to generalised error rates instead. Remark 3.7 at p.780 confines the logical-restriction improvement to more than two treatments and warns that it becomes computationally prohibitive beyond a few; Table 4 at p.784 shows it moving p-values without producing any extra rejection. p.789 notes the procedure needs the underlying data, so where only published unadjusted p-values exist, Bonferroni or Holm is the applicable tool. None of this converts an exploratory rejection into a confirmatory one"
EMP-SPECSEARCH01,"White, A reality check for data snooping",PEER_REVIEWED_METHOD,2000,"section 1 Introduction (pp.1097-1099); section 2.a The Basic Framework (pp.1099-1101); section 2.b Basic Theory, Propositions 2.1-2.2 (pp.1101-1103); Monte Carlo and Bootstrap Reality Checks (pp.1103-1105); section 2.c Extensions and Variations (pp.1106-1108); section 3 Implementing the Bootstrap Reality Check (pp.1108-1111); section 4 An Illustrative Example, Tables I and II (pp.1111-1115); section 5 Summary (pp.1115-1117)",Econometrica 68(5):1097-1126; tested null at p.1101; Reality Check defined at p.1102; enumerability limit at p.1103; implementation settings at p.1109; naive-versus-Reality-Check comparison at pp.1113-1115 with Table I p.1113 and Table II p.1115,10.1111/1468-0262.00152,YES,"Supports Reality Check null against a named benchmark across an enumerable searched model set, bootstrap implementation, examples, and stated limitations.",TRANSFERABLE_WITH_ADAPTATION,"Supports Reality Check null against a named benchmark across an enumerable searched model set, bootstrap implementation, examples, and stated limitations.",Does not automatically account for unobserved prior searches; cross-validation extension is not established; example bootstrap parameters are not universal.
CORE-L4-09,"Harvey, Liu & Zhu, ... and the cross-section of expected returns",PEER_REVIEWED_METHOD,2016,Abstract and Introduction (p.5); section 3 Adjusted t-statistics in Multiple Testing; section 3.6 benchmark t-statistics; section 3.7 Robustness including 3.7.1 test statistics dependence; section 4 Correlation among Test Statistics; Appendix A Multiple Testing When the Number of Tests Is Unknown,"Rev Financ Stud 29(1):5-68; headline hurdle in the abstract, p.5",10.1093/rfs/hhv059,YES,Supports finance factor-zoo/multiple-testing benchmark thresholds and caveats in the studied factor universes.,TRANSFERABLE_WITH_ADAPTATION,"In heavily searched cross-sectional return-factor universes, conventional single-test thresholds can be too lenient. The published paper reports a headline t-statistic hurdle above 3.0 and more stringent multiple-testing benchmarks, including 3.54 for the homogeneous post-2000 Bonferroni subset discussed in the paper.","No universal t-statistic cutoff for every finance/accounting/business design; the paper does not validate the current study’s measurement, clustering, or identification."
EMP-DATA09,"Little & Rubin, Statistical Analysis with Missing Data, 3rd ed.",TEXTBOOK,2020,"3rd ed. (current); §1.3 Mechanisms That Lead to Missing Data (p.13); ch.3 Complete-Case and Available-Case Analysis Including Weighting Methods (§3.1 p.47, §3.2 Complete-Case Analysis p.47, §3.3 Weighted Complete-Case Analysis p.50, §3.4 Available-Case Analysis p.61); ch.4 Single Imputation Methods (§4.2 imputing means p.69, §4.3 imputing draws p.73); ch.5 Accounting for Uncertainty from Missing Data (§5.1 p.85, §5.2 valid SEs from a single filled-in set p.86, §5.3 resampling p.90, §5.4 multiple imputation p.95). Chapter 5 was retitled from the 2nd edition","pp.13, 47-61, 69-73, 85-100; complete-case bias examples 3.2 at p.48 and 3.3-3.4 at p.49; the four uncertainty strategies at pp.85-86",10.1002/9781119482260; ISBN 9780470526798,YES,Supports mechanism×estimand dependence of complete-case validity and broad missing-data uncertainty principles.,TRANSFERABLE_WITH_ADAPTATION,Supports mechanism×estimand dependence of complete-case validity and broad missing-data uncertainty principles.,"Does not prescribe ScholarOps field names, finance-specific timing rules, or a universal imputation method."
