state_id,state,owner,entry,required_artifact,pass_condition,allowed_next,return_or_failure,global_precondition
S00,AGENDA_QUESTION_FORMATION,01_CORE,problem/actor/construct/so-what,question memo,QUESTION_FORMATION_STATUS=PASS,S01,revise question,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S01,LANDSCAPE_DISCOVERY,01_CORE or 03_AI_FINANCE_PROFILE when explicitly triggered,QUESTION_FORMATION_STATUS=PASS,landscape package,CENSUS_STATUS=CENSUS_PARTIAL,S02,S00,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S02,FOCUSED_CENSUS,01_CORE,CENSUS_STATUS=CENSUS_PARTIAL,census audit package,CENSUS_STATUS=CENSUS_COMPLETE_PRE_L4 & RESEARCH_CENSUS_VERDICT=PASS_TO_PRE_L4,S03,"RESEARCH_CENSUS_VERDICT=NARROW→S00; RESEARCH_CENSUS_VERDICT∈{STOP_COLLISION,STOP_SO_WHAT,STOP_CONSTRUCT}→S24; incomplete→S01","SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S03,PRE_L4_CLAIM_FREEZE,01_CORE,CENSUS_STATUS=CENSUS_COMPLETE_PRE_L4 + RESEARCH_CENSUS_VERDICT=PASS_TO_PRE_L4,PRE_L4_CLAIM_FREEZE,PRE_L4_CLAIM_FREEZE_STATUS=COMPLETE,S04,S02,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S04,PRE_PILOT_L4,01_CORE,PRE_L4_CLAIM_FREEZE_STATUS=COMPLETE,L4 package,L4_PHASE=PRE_PILOT & L4_STATUS=COMPLETE & L4_VERDICT=L4_PASS_TO_METHOD_DESIGN,S05,"L4_VERDICT=L4_NARROW→S03; L4_VERDICT∈{L4_STOP_COLLISION,L4_STOP_SO_WHAT,L4_STOP_CONSTRUCT}→S24; blocked/refreeze→hold-or-S03","SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S05,METHOD_DESIGN_IDENTIFICATION_MINIMUM,02_EMPIRICAL,L4_PHASE=PRE_PILOT + L4_STATUS=COMPLETE + L4_VERDICT=L4_PASS_TO_METHOD_DESIGN,design spec + pre-pilot identification minimum; system identity spec only if triggered,METHOD_DESIGN_STATUS=PASS,S06,S03/S04,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S06,REALITY_ACCESS,04_ACCESS + project-specific access context,METHOD_DESIGN_STATUS=PASS,access audit,REALITY_ACCESS_STATUS=PASS,S07,BLOCK,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S07,DATA_ASSET_INTAKE_RAW_QA,02_EMPIRICAL,REALITY_ACCESS_STATUS=PASS,raw QA,RAW_DATA_QA_STATUS=PASS,S08,repair S07,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S08,DERIVED_VARIABLE_CONSTRUCTION,02_EMPIRICAL,RAW_DATA_QA_STATUS=PASS,derived dataset,DERIVED_VARIABLE_CONSTRUCTION_STATUS=PASS,S09,S07/S08,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
S09,BLIND_DATA_REALITY_AUDIT,02_EMPIRICAL,DERIVED_VARIABLE_CONSTRUCTION_STATUS=PASS + BLINDNESS_LEVEL=B1_MARGINAL_OUTCOME_BLIND,blind distribution/tail audit + cheap missing triage; full missing map only if triggered,"BLIND_DISTRIBUTION_AUDIT_STATUS=PASS & MISSING_DATA_STATUS∈{PASS,NOT_APPLICABLE}",S10,S08,"SESSION_CONTEXT_STATUS∈{COMPLETE,NOT_REQUIRED}"
