rule_id,module_id,section,title
CORE-Q01,01,01 — Core Research Workflow,Important Problem before Method
CORE-Q02,01,01 — Core Research Workflow,Construct Identity
CORE-Q03,01,01 — Core Research Workflow,So-What
CORE-Q04,01,01 — Core Research Workflow,Important Problem × Credible Attack
CORE-LIT01,01,01 — Core Research Workflow,Plural Discovery Routes
CORE-LIT02,01,01 — Core Research Workflow,"Blind-first is a bias diagnostic, not a veto"
CORE-LIT03,01,01 — Core Research Workflow,Landscape ≠ Focused Census
CORE-LIT04,01,01 — Core Research Workflow,Focused Census stopping rule
CORE-LIT05,01,01 — Core Research Workflow,Evidence vs Search Process vs Provenance
CORE-LIT06,01,01 — Core Research Workflow,Source Quality / Frontier Authority
CORE-LIT07,01,01 — Core Research Workflow,Read the actual predecessor method
CORE-LIT08,01,01 — Core Research Workflow,User-provided core material first
CORE-LIT09,01,01 — Core Research Workflow,Open-world Field Router
CORE-LIT10,01,01 — Core Research Workflow,Standard / Regulator claim ceiling
CORE-LIT11,01,01 — Core Research Workflow,Freshness Reopen
CORE-DISC01,01,01 — Core Research Workflow,Research horizon / boundedness
CORE-DISC02,01,01 — Core Research Workflow,Discovery freeze / selection
CORE-DISC03,01,01 — Core Research Workflow,Discovery Iteration vs Confirmatory Lock
CORE-C01,01,01 — Core Research Workflow,"Collision is diagnostic, not automatic death"
CORE-C02,01,01 — Core Research Workflow,Single Contribution-Delta Rule
CORE-C03,01,01 — Core Research Workflow,No Conjunction Novelty
CORE-C04,01,01 — Core Research Workflow,"Same question, different method"
CORE-C05,01,01 — Core Research Workflow,Contradiction / deepening
CORE-C06,01,01 — Core Research Workflow,Inference-Value Test
CORE-CL01,01,01 — Core Research Workflow,Claim ceiling
CORE-CL02,01,01 — Core Research Workflow,Mechanism is not heterogeneity by itself
CORE-CL03,01,01 — Core Research Workflow,Exploratory after result
CORE-CRAFT01,01,01 — Core Research Workflow,Problematization
CORE-CRAFT02,01,01 — Core Research Workflow,Argument architecture
CORE-CRAFT03,01,01 — Core Research Workflow,Theory/contribution map
CORE-CRAFT04,01,01 — Core Research Workflow,Write-to-think / outline-first
CORE-D01,01,01 — Core Research Workflow,Data does not create importance
CORE-D02,01,01 — Core Research Workflow,Historical substitute
CORE-D03,01,01 — Core Research Workflow,Decomposition is not novelty
CORE-D04,01,01 — Core Research Workflow,Cheap stop for data/method-triggered candidates
CORE-M01,01,01 — Core Research Workflow,Professional Method Precedent / Concrete-Problem Grounding
CORE-M02,01,01 — Core Research Workflow,Method Decision Table
CORE-M03,01,01 — Core Research Workflow,User correction / new-idea ambiguity
CORE-M04,01,01 — Core Research Workflow,"Treatment ladder, mapping chain, and inference unit"
CORE-R01,01,01 — Core Research Workflow,No false precision in candidate ranking
CORE-OE01,01,01 — Core Research Workflow,Research opportunity and execution readiness are separate
CORE-L4-01,01,01 — Core Research Workflow,Pre-L4 Freeze + Entry Integrity
CORE-L4-02,01,01 — Core Research Workflow,Dangerous-neighbor-first
CORE-L4-03,01,01 — Core Research Workflow,Evidence blocker / queue
CORE-L4-04,01,01 — Core Research Workflow,L4 status mapping
CORE-L4-10,01,01 — Core Research Workflow,Evidentiary symmetry for adverse literature judgments
CORE-L4-05,01,01 — Core Research Workflow,L4 evidence package
CORE-L4-06,01,01 — Core Research Workflow,One-candidate L4 + last-mile
CORE-L4-07,01,01 — Core Research Workflow,Incremental unblock
