field,allowed_values,type
CURRENT_CANONICAL_VERSION,v1.0.0,singleton
CANONICAL_ARCHITECTURE,SCHEMA_DRIVEN_GENERATED_RUNTIME,singleton
OUTCOME_SCREEN_APPLICABILITY,APPLICABLE;NOT_APPLICABLE;BLOCKED,enum
SCREEN_DATA_REUSE_POLICY,EXTERNAL_HOLDOUT;BLINDED_INTERNAL_NUISANCE_ONLY;VALID_ADAPTIVE_SEQUENTIAL_REUSE;EXPLORATORY_REUSE_ONLY;NOT_APPLICABLE,enum
COLLISION_EVIDENCE_TIER,PEER_REVIEWED_CORE;PEER_REVIEWED_ADJACENT;CANONICAL_HIGH_QUALITY;HIGH_AUTHORITY_FRONTIER;LOW_AUTHORITY_FRONTIER;SEARCH_PROCESS_ONLY;NOT_APPLICABLE,enum
REVISION_TRIGGER,UPSTREAM_SOURCE;DESIGN_PRESPECIFIED;OUTCOME_DRIVEN;UNDETERMINED;NOT_APPLICABLE,enum
IRREVERSIBLE_ACTION_STATUS,NONE;WARNING_ONLY;FATAL_ERROR_RECOVERABLE;IRREVERSIBLE_DONE,enum
EMPIRICAL_ENTRY_STATUS,RESOLVED;UNRESOLVED_BLOCKED;USER_OVERRIDE_EXPLORATORY;NOT_APPLICABLE,enum
ASSET_MUTABILITY,FROZEN_SNAPSHOT;LIVE_SOURCE;UNKNOWN,enum
VERIFICATION_REUSE_DECISION,FIRST_VERIFICATION;REUSED_UNCHANGED;REVERIFIED_TRIGGERED;BLOCKED_UNVERIFIABLE,enum
BLINDING_IMPLEMENTATION_MODE,TREATMENT_LABEL_MASKED;OUTCOME_MASKED;SHUFFLED_LABEL;SYNTHETIC_OUTCOME;HOLDOUT;LOCKED_SPEC_ONLY;NOT_FEASIBLE,enum
BACKGROUND_DATA_FAMILIARITY,NONE;GENERAL_DISTRIBUTIONAL;EXTENSIVE_PRIOR_USE,enum
SPECIFICATION_SEARCH_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
LITERATURE_SELECTION_HURDLE_STATUS,PASS;CONDITIONAL;BLOCKED;NOT_APPLICABLE,enum
PRECEDENT_TRANSFER_STATUS,TRANSFERABLE_AS_IS;TRANSFERABLE_WITH_ADAPTATION;NOT_TRANSFERABLE_AS_IS;NOT_ASSESSED,enum
TERMINATION_REASON,CENSUS_STOP;L4_STOP;SCREEN_STOP_RESOURCE;EXECUTION_STRUCTURALLY_BLOCKED;CLAIM_DRIFT_SUPERSEDED;USER_DECISION;OTHER,enum
TERMINATION_ARCHIVE_STATUS,IN_PROGRESS;COMPLETE;NOT_APPLICABLE,enum
CONDITION_TYPE,PENDING_EXTERNAL_INPUT;PENDING_USER_DECISION;BOUNDED_KNOWN_DEFECT;SCOPE_LIMITED;NOT_APPLICABLE,enum
