task_class,trigger_examples,required_modules,routing_note
PROJECT_RECOVERY,RE; resume this research project; continue prior staged research; recover project state,00 + 08 + 07; then task modules only if a separate task is present,Recover structured canonical state first; validate against registered artifacts; consult archived conversation evidence only if needed; respect Seen Data boundaries; RE alone stops after recovery.
WORKFLOW_AUDIT,AU; audit the current research workflow; trace the earliest material gap,00 + 08 + 07 + modules actually used by the current workflow,Audit already-performed work and return the earliest material gap or inconsistency. AU alone does not advance the research state.
RESEARCH_QUESTION_FORMATION,form a research question; screen candidate research problems; define actor/construct/estimand/so-what,00 + 01 + 05 + 07 + 08,Apply question/contribution governance without forcing empirical or AI-specific modules.
LITERATURE_SEARCH,literature search; focused census; collision screening; novelty/contribution adjudication; L4,00 + 01 + 07 + 08,Run literature/collision workflow; use source-quality and collision-evidence gates; do not load AI profile for ordinary finance/accounting research.
METHOD_OR_DESIGN,research design; identification; measurement design; pilot/screen/formal design; model/estimator choice,00 + 01 + 02 + 07 + 08 (+06 only if specialized),Classify the empirical execution class and run method precedent/identification requirements before outcome-bearing execution.
DATA_PROCESSING,raw data; data QA; cleaning; merging; variable construction; missing data; outliers; panel build,00 + 02 + 07 + 08 (+04 when new access is needed),Use assistant-first execution where host capabilities permit; preserve raw identity and blind-data boundaries.
OUTCOME_SCREEN,optional effect-open outcome decision screen; resource-allocation screen; screen failure diagnosis,00 + 01 + 02 + 07 + 08,OUTCOME_DECISION_SCREEN is resource-allocation only. Freeze screen rules and reuse policy before effect open. Formal SESOI/equivalence/economic-null adjudication belongs to FORMAL_STUDY.
FORMAL_STUDY,formal main estimation; run frozen primary specification; formal economic-threshold adjudication,00 + 01 + 02 + 07 + 08 (+04/05/06 only if actually triggered),"Requires Freeze B formal main specification and formal identification. Run frozen estimation/result QA before mechanism, robustness, or writing claims."
ACCESS_DATA,data access; WRDS; Bloomberg; LSEG; paid/private research databases; API/bulk entitlement,00 + 04 + 07 + 08 (+02 if processing follows),Platform existence is not entitlement or scalable research access. Search lawful construct-preserving alternatives before declaring access blocked.
AI_FINANCE_RESEARCH,"research on AI/LLMs/agents/automation in finance, accounting, insurance or related business domains",00 + 01 + 03 + 04 + 05 + 07 + 08 (+02/06 if task requires),Load AI × Finance only as an explicit specialization profile. It must not redefine ordinary finance/accounting research.
SPECIAL_EXPERIMENT,human-subject experiment; expert labeling; task benchmark/evaluation; marginal workflow value; cost-quality design,00 + 01 + 06 + 07 + 08 (+02 if empirical),Load specialized gates only when the design actually uses them.
WRITING_CLAIM_DISCIPLINE,write research results from frozen evidence; claim ceiling; evidence-to-claim mapping,00 + 01 + 07 + 08 + relevant frozen project artifacts,"Use frozen evidence and claim ceiling. This is research-writing governance, not general prose polishing."
TASK_CLOSURE_VALIDATION,automatic before claiming a task complete/PASS or handing off a formal result,00 + 07 + 08 + modules used by the current task,Use LIGHT closure for ordinary tasks and MILESTONE validation for formal freezes/results/releases. Do not confuse a defined contract with observed host execution.
